Date,Timestamp,Open,High,Low,Close,Volume
20180115,14:00:00,1.2283,1.22905,1.22773,1.22905,3702.80000150204
20180115,14:15:00,1.22908,1.22908,1.22763,1.22787,2588.39000606537
20180115,14:30:00,1.22788,1.22797,1.22658,1.22685,3090.03000676632
20180115,14:45:00,1.22686,1.22708,1.22598,1.22615,2959.75001323223
20180115,15:00:00,1.22615,1.22652,1.22544,1.22546,2987.54999768734
20180115,15:15:00,1.22548,1.22632,1.22545,1.22609,2379.59000575542
20180115,15:30:00,1.22609,1.22691,1.22596,1.22683,2418.36999535561
20180115,15:45:00,1.22683,1.22712,1.22588,1.22596,2915.16000127792
20180115,16:00:00,1.22598,1.22937,1.2259,1.22728,4299.99000251293
20180115,16:15:00,1.22729,1.22755,1.22625,1.22635,2830.64999914169
20180115,16:30:00,1.22636,1.22666,1.22604,1.2262,1722.77999615669
20180115,16:45:00,1.2262,1.22658,1.22616,1.22657,1381.49999773502
20180115,17:00:00,1.22657,1.22728,1.22657,1.22705,1481.18999528885
20180115,17:15:00,1.22704,1.2275,1.22704,1.22729,1774.47999918461
20180115,17:30:00,1.22729,1.22815,1.22725,1.228,969.549996852875
20180115,17:45:00,1.22799,1.22876,1.22704,1.22715,3286.30000758171
20180115,18:00:00,1.22715,1.22757,1.22692,1.22693,2062.74000453949
20180115,18:15:00,1.22694,1.22764,1.22681,1.22738,2071.42000067234
20180115,18:30:00,1.22737,1.22764,1.22712,1.22729,1411.70000374317
20180115,18:45:00,1.2273,1.22734,1.22717,1.22727,1320.04000031948
20180115,19:00:00,1.22726,1.22743,1.22677,1.22721,1644.81000256538
20180115,19:15:00,1.22721,1.22734,1.22697,1.2271,1405.55000627041
20180115,19:30:00,1.2271,1.22713,1.2266,1.2268,1592.32000774145
20180115,19:45:00,1.22679,1.22688,1.22631,1.22685,2180.87001025677
20180115,20:00:00,1.22686,1.22693,1.22641,1.22661,2105.43001353741
20180115,20:15:00,1.22661,1.22681,1.22634,1.22667,1967.70000600815
20180115,20:30:00,1.22667,1.2269,1.22648,1.2268,1863.83001303673
20180115,20:45:00,1.22681,1.22781,1.22677,1.22694,1973.62000574917
20180115,21:00:00,1.22695,1.22695,1.22645,1.22671,1164.05000632256
20180115,21:15:00,1.22671,1.22685,1.2267,1.22678,1443.66000938416
20180115,21:30:00,1.22678,1.22678,1.22646,1.22657,1089.38000786304
